,,,,,
,,,,,
Component Count:,30,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
C1,470p,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,
C2,470p,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,
C3,.1u,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm,~,,
C4,.1u,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm,~,,
C5,.1u,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm,~,,
C6,.1u,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm,~,,
D1,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,,
D2,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,,
D3,LED,LED_THT:LED_D3.0mm,~,,
D4,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,,
D5,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,,
DS1,NMTC-S16205DRGHS-07,NTMC LCD:NMTCS16205DRGHS07_1,http://www.mouser.com/datasheet/2/271/NMTC-S16205DRGHS-3411.pdf,,
J1,QCX,AI6XG:YC1602A,~,,
J3,Antenna,AI6XG:CONN_1-1337543-0,,,
J4,Transmitter,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~,,
J5,/key,CUI_SJ1-3523:CUI_SJ1-3513N,,,
K1,TX2SA-L2-5,Relay_SMD:Relay_DPDT_Kemet_EE2_NU_DoubleCoil,,,
Q1,2N4401,Package_TO_SOT_THT:TO-92_Inline_Wide,https://www.onsemi.com/pub/Collateral/MMBT4401-D.PDF,ON Semiconductor,
Q2,2N4401,Package_TO_SOT_THT:TO-92_Inline_Wide,https://www.onsemi.com/pub/Collateral/MMBT4401-D.PDF,ON Semiconductor,
Q3,2N4401,Package_TO_SOT_THT:TO-92_Inline_Wide,https://www.onsemi.com/pub/Collateral/MMBT4401-D.PDF,ON Semiconductor,
R1,100k,AI6XG:R THT .25W,~,,
R2,39k,AI6XG:R THT .25W,~,,
R3,39k,AI6XG:R THT .25W,~,,
R4,39k,AI6XG:R THT .25W,~,,
R5,39k,AI6XG:R THT .25W,~,,
R6,1k0,AI6XG:R THT .25W,~,,
R7,4k7,AI6XG:R THT .25W,~,,
R8,4k7,AI6XG:R THT .25W,~,,
U1,ICM7555IPAZ,Package_DIP:DIP-8_W7.62mm_Socket,http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf,Renesas Electronics America Inc.,
U2,ICM7555IPAZ,Package_DIP:DIP-8_W7.62mm_Socket,http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf,Renesas Electronics America Inc.,
